dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"N | D",192,42,       0.001250
1,float,uniform,PoisFFT,"N | D",192,43,       0.001240
1,float,uniform,PoisFFT,"N | D",192,44,       0.001220
1,float,uniform,PoisFFT,"N | D",192,45,       0.001230
1,float,uniform,PoisFFT,"N | D",192,46,       0.001250
1,float,uniform,PoisFFT,"N | D",192,47,       0.001230
1,float,uniform,PoisFFT,"N | D",192,48,       0.001220
1,float,uniform,PoisFFT,"N | D",192,49,       0.001230
1,float,uniform,PoisFFT,"N | D",192,50,       0.001250
1,float,uniform,PoisFFT,"N | D",192,51,       0.001250
1,float,uniform,PoisFFT,"N | D",192,52,       0.001240
1,float,uniform,PoisFFT,"N | D",192,53,       0.001220
1,float,uniform,PoisFFT,"N | D",192,54,       0.001220
1,float,uniform,PoisFFT,"N | D",192,55,       0.001230
1,float,uniform,PoisFFT,"N | D",192,56,       0.001240
1,float,uniform,PoisFFT,"N | D",192,57,       0.001231
1,float,uniform,PoisFFT,"N | D",192,58,       0.001220
1,float,uniform,PoisFFT,"N | D",192,59,       0.001229
1,float,uniform,PoisFFT,"N | D",192,60,       0.001230
1,float,uniform,PoisFFT,"N | D",192,61,       0.001230
1,float,uniform,PoisFFT,"N | D",192,62,       0.001220
1,float,uniform,PoisFFT,"N | D",192,63,       0.001220
1,float,uniform,PoisFFT,"N | D",192,64,       0.001210
1,float,uniform,PoisFFT,"N | D",192,65,       0.001250
1,float,uniform,PoisFFT,"N | D",192,66,       0.001230
1,float,uniform,PoisFFT,"N | D",192,67,       0.001220
1,float,uniform,PoisFFT,"N | D",192,68,       0.001250
1,float,uniform,PoisFFT,"N | D",192,69,       0.001230
1,float,uniform,PoisFFT,"N | D",192,70,       0.001250
1,float,uniform,PoisFFT,"N | D",192,71,       0.001250
1,float,uniform,PoisFFT,"N | D",192,72,       0.001230
1,float,uniform,PoisFFT,"N | D",192,73,       0.001250
1,float,uniform,PoisFFT,"N | D",192,74,       0.001220
1,float,uniform,PoisFFT,"N | D",256,0,       0.002430
1,float,uniform,PoisFFT,"N | D",256,1,       0.001710
1,float,uniform,PoisFFT,"N | D",256,2,       0.001610
1,float,uniform,PoisFFT,"N | D",256,3,       0.001570
1,float,uniform,PoisFFT,"N | D",256,4,       0.001560
1,float,uniform,PoisFFT,"N | D",256,5,       0.001580
1,float,uniform,PoisFFT,"N | D",256,6,       0.001560
1,float,uniform,PoisFFT,"N | D",256,7,       0.001580
1,float,uniform,PoisFFT,"N | D",256,8,       0.001610
1,float,uniform,PoisFFT,"N | D",256,9,       0.001560
1,float,uniform,PoisFFT,"N | D",256,10,       0.001580
1,float,uniform,PoisFFT,"N | D",256,11,       0.001590
1,float,uniform,PoisFFT,"N | D",256,12,       0.001580
1,float,uniform,PoisFFT,"N | D",256,13,       0.001569
1,float,uniform,PoisFFT,"N | D",256,14,       0.001580
1,float,uniform,PoisFFT,"N | D",256,15,       0.001571
1,float,uniform,PoisFFT,"N | D",256,16,       0.001579
1,float,uniform,PoisFFT,"N | D",256,17,       0.001580
1,float,uniform,PoisFFT,"N | D",256,18,       0.001590
1,float,uniform,PoisFFT,"N | D",256,19,       0.001580
1,float,uniform,PoisFFT,"N | D",256,20,       0.001580
1,float,uniform,PoisFFT,"N | D",256,21,       0.001570
1,float,uniform,PoisFFT,"N | D",256,22,       0.001610
1,float,uniform,PoisFFT,"N | D",256,23,       0.001580
1,float,uniform,PoisFFT,"N | D",256,24,       0.001570
1,float,uniform,PoisFFT,"N | D",256,25,       0.001590
1,float,uniform,PoisFFT,"N | D",256,26,       0.001580
1,float,uniform,PoisFFT,"N | D",256,27,       0.001590
1,float,uniform,PoisFFT,"N | D",256,28,       0.001590
1,float,uniform,PoisFFT,"N | D",256,29,       0.001580
1,float,uniform,PoisFFT,"N | D",256,30,       0.001570
1,float,uniform,PoisFFT,"N | D",256,31,       0.001590
1,float,uniform,PoisFFT,"N | D",256,32,       0.001580
1,float,uniform,PoisFFT,"N | D",256,33,       0.001589
1,float,uniform,PoisFFT,"N | D",256,34,       0.001600
1,float,uniform,PoisFFT,"N | D",256,35,       0.001600
1,float,uniform,PoisFFT,"N | D",256,36,       0.001570
1,float,uniform,PoisFFT,"N | D",256,37,       0.001610
1,float,uniform,PoisFFT,"N | D",256,38,       0.001580
1,float,uniform,PoisFFT,"N | D",256,39,       0.001560
1,float,uniform,PoisFFT,"N | D",256,40,       0.001570
1,float,uniform,PoisFFT,"N | D",256,41,       0.001570
1,float,uniform,PoisFFT,"N | D",256,42,       0.001580
1,float,uniform,PoisFFT,"N | D",256,43,       0.001580
1,float,uniform,PoisFFT,"N | D",256,44,       0.001580
1,float,uniform,PoisFFT,"N | D",256,45,       0.001580
1,float,uniform,PoisFFT,"N | D",256,46,       0.001560
1,float,uniform,PoisFFT,"N | D",256,47,       0.001570
1,float,uniform,PoisFFT,"N | D",256,48,       0.001580
1,float,uniform,PoisFFT,"N | D",256,49,       0.001569
1,float,uniform,PoisFFT,"N | D",256,50,       0.001580
1,float,uniform,PoisFFT,"N | D",256,51,       0.001560
1,float,uniform,PoisFFT,"N | D",256,52,       0.001580
1,float,uniform,PoisFFT,"N | D",256,53,       0.001570
1,float,uniform,PoisFFT,"N | D",256,54,       0.001580
1,float,uniform,PoisFFT,"N | D",256,55,       0.001570
1,float,uniform,PoisFFT,"N | D",256,56,       0.001580
1,float,uniform,PoisFFT,"N | D",256,57,       0.001590
1,float,uniform,PoisFFT,"N | D",256,58,       0.001580
1,float,uniform,PoisFFT,"N | D",256,59,       0.005620
1,float,uniform,PoisFFT,"N | D",256,60,       0.001560
1,float,uniform,PoisFFT,"N | D",256,61,       0.001560
1,float,uniform,PoisFFT,"N | D",256,62,       0.001580
1,float,uniform,PoisFFT,"N | D",256,63,       0.001560
1,float,uniform,PoisFFT,"N | D",256,64,       0.001550
1,float,uniform,PoisFFT,"N | D",256,65,       0.001580
1,float,uniform,PoisFFT,"N | D",256,66,       0.001560
1,float,uniform,PoisFFT,"N | D",256,67,       0.001580
1,float,uniform,PoisFFT,"N | D",256,68,       0.001580
1,float,uniform,PoisFFT,"N | D",256,69,       0.001569
1,float,uniform,PoisFFT,"N | D",256,70,       0.001570
1,float,uniform,PoisFFT,"N | D",256,71,       0.001580
1,float,uniform,PoisFFT,"N | D",256,72,       0.001580
1,float,uniform,PoisFFT,"N | D",256,73,       0.001580
1,float,uniform,PoisFFT,"N | D",256,74,       0.001560
1,float,uniform,PoisFFT,"N | D",320,0,       0.003820
1,float,uniform,PoisFFT,"N | D",320,1,       0.002380
1,float,uniform,PoisFFT,"N | D",320,2,       0.002340
1,float,uniform,PoisFFT,"N | D",320,3,       0.002311
1,float,uniform,PoisFFT,"N | D",320,4,       0.002289
1,float,uniform,PoisFFT,"N | D",320,5,       0.002310
1,float,uniform,PoisFFT,"N | D",320,6,       0.002280
1,float,uniform,PoisFFT,"N | D",320,7,       0.002270
1,float,uniform,PoisFFT,"N | D",320,8,       0.002280
1,float,uniform,PoisFFT,"N | D",320,9,       0.002250
1,float,uniform,PoisFFT,"N | D",320,10,       0.002240
1,float,uniform,PoisFFT,"N | D",320,11,       0.002240
1,float,uniform,PoisFFT,"N | D",320,12,       0.002260
1,float,uniform,PoisFFT,"N | D",320,13,       0.002290
1,float,uniform,PoisFFT,"N | D",320,14,       0.002230
1,float,uniform,PoisFFT,"N | D",320,15,       0.002260
1,float,uniform,PoisFFT,"N | D",320,16,       0.002280
1,float,uniform,PoisFFT,"N | D",320,17,       0.002250
1,float,uniform,PoisFFT,"N | D",320,18,       0.002260
1,float,uniform,PoisFFT,"N | D",320,19,       0.002291
1,float,uniform,PoisFFT,"N | D",320,20,       0.002290
1,float,uniform,PoisFFT,"N | D",320,21,       0.002240
