dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,49,       4.107605
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,50,       4.115016
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,51,       4.106126
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,52,       4.113176
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,53,       4.097195
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,54,       4.051126
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,55,       4.109486
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,56,       4.060846
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,57,       4.097086
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,58,       4.141415
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,59,       4.084256
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,60,       4.086646
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,61,       4.136816
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,62,       4.113766
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,63,       4.128686
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,64,       4.123666
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,65,       4.129626
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,66,       4.106255
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,67,       4.123116
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,68,       4.114525
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,69,       4.099876
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,70,       4.170735
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,71,       4.106745
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,72,       4.116256
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,73,       4.081136
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",128,74,       4.084696
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,0,       7.344180
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,1,       6.972185
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,2,       7.129412
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,3,       7.107524
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,4,       7.062513
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,5,       7.010144
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,6,       6.994964
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,7,       7.121463
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,8,       7.086493
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,9,       7.084144
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,10,       7.011454
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,11,       7.070284
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,12,       7.039264
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,13,       7.028204
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,14,       7.038554
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,15,       7.110323
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,16,       7.003845
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,17,       7.067994
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,18,       7.005314
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,19,       7.185432
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,20,       7.135162
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,21,       7.071473
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,22,       7.015124
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,23,       7.101404
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,24,       7.121763
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,25,       7.130503
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,26,       7.100643
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,27,       7.060494
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,28,       7.151753
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,29,       7.045784
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,30,       7.118883
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,31,       7.172492
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,32,       7.084094
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,33,       7.101703
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,34,       7.095473
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,35,       7.072913
