dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ns",192,21,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,22,       0.001250
1,float,uniform,PoisFFT,"Ns | Ns",192,23,       0.001250
1,float,uniform,PoisFFT,"Ns | Ns",192,24,       0.001249
1,float,uniform,PoisFFT,"Ns | Ns",192,25,       0.001269
1,float,uniform,PoisFFT,"Ns | Ns",192,26,       0.001269
1,float,uniform,PoisFFT,"Ns | Ns",192,27,       0.001271
1,float,uniform,PoisFFT,"Ns | Ns",192,28,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,29,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,30,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,31,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,32,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,33,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,34,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,35,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,36,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,37,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,38,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,39,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,40,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,41,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,42,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,43,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,44,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,45,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,46,       0.001271
1,float,uniform,PoisFFT,"Ns | Ns",192,47,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,48,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,49,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,50,       0.001290
1,float,uniform,PoisFFT,"Ns | Ns",192,51,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,52,       0.001290
1,float,uniform,PoisFFT,"Ns | Ns",192,53,       0.001290
1,float,uniform,PoisFFT,"Ns | Ns",192,54,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,55,       0.001300
1,float,uniform,PoisFFT,"Ns | Ns",192,56,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,57,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,58,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,59,       0.001250
1,float,uniform,PoisFFT,"Ns | Ns",192,60,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,61,       0.001250
1,float,uniform,PoisFFT,"Ns | Ns",192,62,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,63,       0.001280
1,float,uniform,PoisFFT,"Ns | Ns",192,64,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,65,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",192,66,       0.001271
1,float,uniform,PoisFFT,"Ns | Ns",192,67,       0.001291
1,float,uniform,PoisFFT,"Ns | Ns",192,68,       0.001320
1,float,uniform,PoisFFT,"Ns | Ns",192,69,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,70,       0.001271
1,float,uniform,PoisFFT,"Ns | Ns",192,71,       0.001271
1,float,uniform,PoisFFT,"Ns | Ns",192,72,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,73,       0.001260
1,float,uniform,PoisFFT,"Ns | Ns",192,74,       0.001270
1,float,uniform,PoisFFT,"Ns | Ns",256,0,       0.002870
1,float,uniform,PoisFFT,"Ns | Ns",256,1,       0.001710
1,float,uniform,PoisFFT,"Ns | Ns",256,2,       0.001631
1,float,uniform,PoisFFT,"Ns | Ns",256,3,       0.001609
1,float,uniform,PoisFFT,"Ns | Ns",256,4,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,5,       0.001570
1,float,uniform,PoisFFT,"Ns | Ns",256,6,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,7,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,8,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,9,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,10,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,11,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,12,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,13,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,14,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,15,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,16,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,17,       0.001630
1,float,uniform,PoisFFT,"Ns | Ns",256,18,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,19,       0.001590
