dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,39,      10.504664
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,40,      10.602992
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,41,      10.640472
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,42,      10.649742
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,43,      10.511863
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,44,      10.403604
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,45,      10.712941
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,46,      10.608603
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,47,      10.511163
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,48,      10.538813
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,49,      10.543383
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,50,      10.561653
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,51,      10.672802
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,52,      10.468295
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,53,      10.678621
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,54,      10.496433
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,55,      10.584383
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,56,      10.575993
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,57,      10.545503
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,58,      10.487434
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,59,      10.538553
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,60,      10.573133
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,61,      10.753921
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,62,      10.527814
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,63,      10.462864
