dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,38,       3.927918
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,39,       3.592602
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,40,       3.869819
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,41,       3.938517
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,42,       3.904827
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,43,       4.039797
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,44,       4.062776
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,45,       3.924328
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,46,       3.778729
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,47,       3.840728
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,48,       3.729999
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,49,       3.970237
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,50,       3.826039
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,51,       3.853748
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,52,       3.965718
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,53,       3.918078
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,54,       3.948327
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,55,       3.854809
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,56,       3.830219
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,57,       3.803359
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,58,       3.868529
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,59,       3.849909
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,60,       3.780160
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,61,       3.815950
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,62,       3.995197
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,63,       3.765259
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,64,       3.836399
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,65,       3.830928
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,66,       3.862769
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,67,       3.957117
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,68,       3.834039
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,69,       4.014267
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,70,       3.651330
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,71,       3.869368
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,72,       3.943137
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,73,       4.049386
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,74,       3.869648
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,0,      10.843153
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,1,      11.353908
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,2,      11.077332
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,3,      11.412337
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,4,      10.851433
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,5,      11.582185
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,6,      10.974432
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,7,      10.984142
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,8,      11.322729
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,9,      11.055551
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,10,      10.765454
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,11,      11.046511
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,12,      11.206600
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,13,      10.966622
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,14,      11.153710
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,15,      11.087651
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,16,      11.184880
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,17,      11.422358
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,18,      11.503677
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,19,      11.297599
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,20,      11.135410
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,21,      11.209480
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,22,      11.307129
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,23,      10.981482
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,24,      10.973602
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,25,      11.135460
