dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | D",128,40,       0.003620
1,double,uniform,PoisFFT,"D | D",128,41,       0.003580
1,double,uniform,PoisFFT,"D | D",128,42,       0.003570
1,double,uniform,PoisFFT,"D | D",128,43,       0.003600
1,double,uniform,PoisFFT,"D | D",128,44,       0.003590
1,double,uniform,PoisFFT,"D | D",128,45,       0.003600
1,double,uniform,PoisFFT,"D | D",128,46,       0.003610
1,double,uniform,PoisFFT,"D | D",128,47,       0.003609
1,double,uniform,PoisFFT,"D | D",128,48,       0.003600
1,double,uniform,PoisFFT,"D | D",128,49,       0.003610
1,double,uniform,PoisFFT,"D | D",128,50,       0.003600
1,double,uniform,PoisFFT,"D | D",128,51,       0.003570
1,double,uniform,PoisFFT,"D | D",128,52,       0.003560
1,double,uniform,PoisFFT,"D | D",128,53,       0.003580
1,double,uniform,PoisFFT,"D | D",128,54,       0.003580
1,double,uniform,PoisFFT,"D | D",128,55,       0.003580
1,double,uniform,PoisFFT,"D | D",128,56,       0.003590
1,double,uniform,PoisFFT,"D | D",128,57,       0.003560
1,double,uniform,PoisFFT,"D | D",128,58,       0.003580
1,double,uniform,PoisFFT,"D | D",128,59,       0.003580
1,double,uniform,PoisFFT,"D | D",128,60,       0.003589
1,double,uniform,PoisFFT,"D | D",128,61,       0.003571
1,double,uniform,PoisFFT,"D | D",128,62,       0.003590
1,double,uniform,PoisFFT,"D | D",128,63,       0.003600
1,double,uniform,PoisFFT,"D | D",128,64,       0.003590
1,double,uniform,PoisFFT,"D | D",128,65,       0.003590
1,double,uniform,PoisFFT,"D | D",128,66,       0.003600
1,double,uniform,PoisFFT,"D | D",128,67,       0.003590
1,double,uniform,PoisFFT,"D | D",128,68,       0.003610
1,double,uniform,PoisFFT,"D | D",128,69,       0.003600
1,double,uniform,PoisFFT,"D | D",128,70,       0.003590
1,double,uniform,PoisFFT,"D | D",128,71,       0.003620
1,double,uniform,PoisFFT,"D | D",128,72,       0.003620
1,double,uniform,PoisFFT,"D | D",128,73,       0.003660
1,double,uniform,PoisFFT,"D | D",128,74,       0.003610
1,double,uniform,PoisFFT,"D | D",192,0,       0.012220
1,double,uniform,PoisFFT,"D | D",192,1,       0.010740
1,double,uniform,PoisFFT,"D | D",192,2,       0.010620
1,double,uniform,PoisFFT,"D | D",192,3,       0.010620
1,double,uniform,PoisFFT,"D | D",192,4,       0.010590
1,double,uniform,PoisFFT,"D | D",192,5,       0.010580
1,double,uniform,PoisFFT,"D | D",192,6,       0.010600
1,double,uniform,PoisFFT,"D | D",192,7,       0.010630
1,double,uniform,PoisFFT,"D | D",192,8,       0.010580
1,double,uniform,PoisFFT,"D | D",192,9,       0.010610
1,double,uniform,PoisFFT,"D | D",192,10,       0.010629
1,double,uniform,PoisFFT,"D | D",192,11,       0.010590
1,double,uniform,PoisFFT,"D | D",192,12,       0.010610
1,double,uniform,PoisFFT,"D | D",192,13,       0.010700
1,double,uniform,PoisFFT,"D | D",192,14,       0.010620
1,double,uniform,PoisFFT,"D | D",192,15,       0.010630
1,double,uniform,PoisFFT,"D | D",192,16,       0.010620
1,double,uniform,PoisFFT,"D | D",192,17,       0.010630
1,double,uniform,PoisFFT,"D | D",192,18,       0.010580
1,double,uniform,PoisFFT,"D | D",192,19,       0.010630
1,double,uniform,PoisFFT,"D | D",192,20,       0.010620
1,double,uniform,PoisFFT,"D | D",192,21,       0.010630
1,double,uniform,PoisFFT,"D | D",192,22,       0.010629
1,double,uniform,PoisFFT,"D | D",192,23,       0.010650
1,double,uniform,PoisFFT,"D | D",192,24,       0.010590
1,double,uniform,PoisFFT,"D | D",192,25,       0.010620
1,double,uniform,PoisFFT,"D | D",192,26,       0.010650
1,double,uniform,PoisFFT,"D | D",192,27,       0.010620
1,double,uniform,PoisFFT,"D | D",192,28,       0.010609
1,double,uniform,PoisFFT,"D | D",192,29,       0.010680
1,double,uniform,PoisFFT,"D | D",192,30,       0.010580
1,double,uniform,PoisFFT,"D | D",192,31,       0.010650
1,double,uniform,PoisFFT,"D | D",192,32,       0.010690
1,double,uniform,PoisFFT,"D | D",192,33,       0.010640
1,double,uniform,PoisFFT,"D | D",192,34,       0.010620
1,double,uniform,PoisFFT,"D | D",192,35,       0.010620
1,double,uniform,PoisFFT,"D | D",192,36,       0.010670
1,double,uniform,PoisFFT,"D | D",192,37,       0.010580
1,double,uniform,PoisFFT,"D | D",192,38,       0.010660
1,double,uniform,PoisFFT,"D | D",192,39,       0.010650
1,double,uniform,PoisFFT,"D | D",192,40,       0.010559
1,double,uniform,PoisFFT,"D | D",192,41,       0.010600
1,double,uniform,PoisFFT,"D | D",192,42,       0.010640
1,double,uniform,PoisFFT,"D | D",192,43,       0.010670
1,double,uniform,PoisFFT,"D | D",192,44,       0.010650
1,double,uniform,PoisFFT,"D | D",192,45,       0.010620
1,double,uniform,PoisFFT,"D | D",192,46,       0.010640
1,double,uniform,PoisFFT,"D | D",192,47,       0.010660
1,double,uniform,PoisFFT,"D | D",192,48,       0.010590
1,double,uniform,PoisFFT,"D | D",192,49,       0.010600
