dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,51,       1.976569
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,52,       1.965198
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,53,       1.953349
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,54,       1.948019
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,55,       1.931999
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,56,       1.923719
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,57,       1.908619
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,58,       1.961109
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,59,       1.952019
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,60,       1.924229
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,61,       1.933569
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,62,       1.944759
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,63,       1.925529
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,64,       1.940348
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,65,       1.938139
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,66,       1.948319
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,67,       1.946498
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,68,       1.968068
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,69,       1.918209
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,70,       1.956309
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,71,       1.951959
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,72,       1.971299
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,73,       1.941829
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",128,74,       1.957758
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,       7.200862
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,       6.686847
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,       6.665177
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,       6.651687
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,       6.838716
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,       6.709117
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,       6.736197
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,       6.729867
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,       6.899715
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,       6.684267
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,       6.671477
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,       6.708657
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,       6.629018
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,       6.628378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,       6.567508
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,       6.575559
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,       6.615848
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,       6.436650
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,       6.687348
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,       6.450481
