dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,72,      23.873434
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,73,      24.066473
3,double,uniform,PoisFFT,"N | D | N | N | N | N",128,74,      23.824325
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,0,      75.195983
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,1,      75.901266
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,2,      75.301963
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,3,      75.369812
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,4,      75.083905
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,5,      75.122484
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,6,      75.692969
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,7,      75.054985
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,8,      75.329793
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,9,      75.630479
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,10,      75.260533
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,11,      74.999776
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,12,      75.281053
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,13,      75.302422
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,14,      75.623919
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,15,      75.178474
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,16,     102.531329
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,17,      75.095805
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,18,      75.157905
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,19,      75.334832
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,20,      75.412951
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,21,      75.103525
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,22,      75.201214
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,23,      74.994226
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,24,      75.385962
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,25,      74.793238
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,26,      75.618109
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,27,      74.997406
