dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",64,0,      22.007634
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,70,      13.731186
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,71,      13.747996
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,72,      13.636378
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,73,      13.764316
3,double,uniform,PoisFFT,"P | P | P | P | N | D",128,74,      13.831966
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,0,      15.608076
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,1,      15.278949
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,2,      15.286669
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,3,      15.315859
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,4,      15.294169
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,5,      15.262229
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,6,      15.665395
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,7,      15.298529
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,8,      15.339118
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,9,      15.329728
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,10,      15.265100
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,11,      15.295679
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,12,      15.312769
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,13,      15.329369
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,14,      15.333538
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,15,      15.750983
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,16,      15.297709
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,17,      15.289229
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,18,      15.301419
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,19,      15.345028
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,20,      15.314639
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,21,      15.261739
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,22,      15.303989
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,23,      15.315448
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,24,      15.318689
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,25,      15.434888
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,26,      15.286609
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,27,      15.310639
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,28,      15.530176
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,29,      15.321539
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,30,      15.306858
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,31,      15.266609
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,32,      15.296648
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,33,      15.292599
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,34,      15.314298
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,35,      15.316419
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,36,      15.269589
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,37,      15.286139
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,38,      15.282929
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,39,      15.301029
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,40,      15.345408
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,41,      15.300809
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,42,      15.302949
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,43,      15.294059
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,44,      15.270729
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,45,      15.336269
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,46,      15.319619
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,47,      15.301989
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,48,      15.313959
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,49,      15.304839
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,50,      15.336249
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,51,      15.292618
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,52,      15.245120
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,53,      15.295549
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,54,      15.631295
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,55,      15.354418
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,56,      15.558396
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,57,      15.266509
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,58,      15.266459
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,59,      15.278149
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,60,      15.328669
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,61,      15.336839
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,62,      15.264700
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,63,      15.285518
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,64,      15.303189
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,65,      15.315069
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,66,      15.338559
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,67,      15.308788
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,68,      15.284599
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,69,      15.282949
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,70,      15.304359
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,71,      15.393088
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,72,      15.299769
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,73,      15.284619
3,double,uniform,PoisFFT,"P | P | P | P | N | D",192,74,      15.270590
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,0,      41.042471
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,1,      41.364147
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,2,      41.186909
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,3,      41.140119
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,4,      41.425547
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,5,      41.297038
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,6,      41.265119
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,7,      41.172940
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,8,      41.143510
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,9,      41.433687
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,10,      41.394147
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,11,      41.206599
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,12,      41.327127
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,13,      41.292678
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,14,      41.241489
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,15,      41.292638
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,16,      41.312448
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,17,      41.372487
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,18,      41.282299
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,19,      41.290408
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,20,      41.314458
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,21,      41.260869
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,22,      41.303618
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,23,      41.315368
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,24,      41.285328
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,25,      41.255019
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,26,      41.228059
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,27,      41.293848
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,28,      41.250919
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,29,      41.179639
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,30,      41.230459
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,31,      41.386038
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,32,      41.281608
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,33,      41.319758
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,34,      41.279738
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,35,      41.245929
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,36,      41.409147
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,37,      41.304278
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,38,      41.219399
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,39,      41.324228
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,40,      41.390837
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,41,      41.320038
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,42,      41.340668
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,43,      41.204380
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,44,      41.278758
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,45,      41.278099
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,46,      41.241579
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,47,      41.251388
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,48,      41.251309
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,49,      41.424387
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,50,      41.221819
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,51,      41.288568
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,52,      41.229738
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,53,      41.250769
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,54,      41.339348
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,55,      41.332948
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,56,      41.253699
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,57,      41.351028
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,58,      41.331528
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,59,      41.255379
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,60,      41.309168
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,61,      41.320158
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,62,      41.236138
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,63,      41.316818
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,64,      41.267098
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,65,      41.254429
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,66,      41.373177
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,67,      41.330068
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,68,      41.340458
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,69,      41.297578
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,70,      41.207659
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,71,      41.205149
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,72,      41.350167
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,73,      41.215089
3,double,uniform,PoisFFT,"P | P | P | P | N | D",256,74,      41.290358
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,0,      85.781790
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,1,      85.587174
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,2,      85.571363
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,3,      85.691812
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,4,      85.742981
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,5,      85.460734
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,6,      85.390556
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,7,      85.806531
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,8,      85.745261
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,9,      85.779601
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,10,      85.664702
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,11,      85.715682
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,12,      85.675492
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,13,      85.672612
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,14,      85.658332
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,15,      85.523894
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,16,      85.595792
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,17,      85.557133
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,18,      85.690622
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,19,      85.602653
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,20,      85.605003
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,21,      85.590303
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,22,      85.702751
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,23,      85.646462
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,24,      85.657591
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,25,      85.791890
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,26,      85.568433
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,27,      85.675192
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,28,      85.845919
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,29,      85.685072
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,30,      85.539573
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,31,      85.660262
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,32,      85.726141
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,33,      85.591392
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,34,      85.868749
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,35,      85.609543
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,36,      85.692731
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,37,      85.920679
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,38,      85.621502
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,39,      85.484464
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,40,      85.673392
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,41,      85.682391
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,42,      85.582043
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,43,      85.638063
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,44,      85.789011
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,45,      85.552743
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,46,      85.638952
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,47,      85.755761
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,48,      85.482674
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,49,      85.729792
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,50,      85.651872
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,51,      85.533184
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,52,      85.595393
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,53,      85.606353
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,54,      85.781460
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,55,      85.546274
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,56,      85.571503
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,57,      85.611093
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,58,      85.466685
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,59,      85.707892
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,60,      85.469474
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,61,      85.756731
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,62,      85.488604
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,63,      85.580813
3,double,uniform,PoisFFT,"P | P | P | P | N | D",320,64,      85.613173
