dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,70,       0.153898
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,71,       0.149689
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,72,       0.149328
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,73,       0.150009
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",128,74,       0.155178
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,0,       0.390546
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,1,       0.386796
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,2,       0.390975
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,3,       0.385765
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,4,       0.391125
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,5,       0.385866
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,6,       0.390596
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,7,       0.384975
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,8,       0.385215
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,9,       0.393085
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,10,       0.387586
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,11,       0.389636
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,12,       0.385166
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,13,       0.390836
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,14,       0.385816
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,15,       0.389386
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,16,       0.384686
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,17,       0.385786
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,18,       0.390416
