dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,41,      35.744083
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,42,      35.576865
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,43,      35.565175
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,44,      35.615325
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,45,      35.512166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,46,      35.756033
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,47,      35.555625
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,48,      35.697354
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,49,      35.230839
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,50,      35.595325
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,51,      35.647215
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,52,      35.455786
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,53,      35.580825
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,54,      35.550226
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,55,      35.629105
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,56,      35.751364
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,57,      35.684974
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,58,      35.668884
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,59,      35.795613
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,60,      35.636475
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,61,      35.700103
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,62,      35.677164
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,63,      35.593605
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,64,      35.576715
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,65,      35.872922
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,66,      35.775163
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,67,      35.702254
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,68,      35.605035
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,69,      35.661004
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,70,      35.618335
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,71,      35.587615
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,72,      35.536166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,73,      35.563166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,74,      35.676305
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,0,      68.320384
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,1,      68.005287
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,2,      67.988667
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,3,      67.889578
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,4,      67.925398
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,5,      67.932048
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,6,      67.872878
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,7,      68.227505
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,8,      67.843650
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,9,      67.838379
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,10,      67.946657
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,11,      67.873109
