dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,39,       5.140254
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,40,       5.132114
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,41,       5.086254
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,42,       5.089644
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,43,       5.219002
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,44,       5.103654
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,45,       5.042755
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,46,       5.102344
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,47,       5.102364
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,48,       5.103064
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,49,       5.060155
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,50,       5.096994
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,51,       5.256252
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,52,       5.200813
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,53,       5.058765
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,54,       5.089824
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,55,       5.130893
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,56,       5.134403
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,57,       5.119873
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,58,       5.067784
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,59,       5.148724
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,60,       5.094384
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,61,       5.136684
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,62,       5.110114
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,63,       5.133073
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,64,       5.085835
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,65,       5.142903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,66,       5.116714
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,67,       5.164943
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,68,       5.172423
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,69,       5.116894
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,70,       5.089454
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,71,       5.102084
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,72,       5.103034
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,73,       5.079994
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,74,       5.080164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,0,      12.574972
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,1,      11.832399
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,2,      11.722451
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,3,      11.775681
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,4,      11.830810
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,5,      11.806240
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,6,      11.671142
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,7,      11.679682
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,8,      11.725951
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,9,      11.640002
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,10,      11.727242
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,11,      11.714251
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,12,      11.627133
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,13,      11.663562
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,14,      11.676692
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,15,      11.571503
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,16,      11.620332
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,17,      11.685402
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,18,      11.788041
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,19,      11.631072
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,20,      11.695051
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,21,      11.686982
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,22,      11.689621
