dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",128,43,       0.137059
2,double,uniform,PoisFFT,"P | P | P | P",128,44,       0.136808
2,double,uniform,PoisFFT,"P | P | P | P",128,45,       0.139919
2,double,uniform,PoisFFT,"P | P | P | P",128,46,       0.139059
2,double,uniform,PoisFFT,"P | P | P | P",128,47,       0.141858
2,double,uniform,PoisFFT,"P | P | P | P",128,48,       0.137179
2,double,uniform,PoisFFT,"P | P | P | P",128,49,       0.136588
2,double,uniform,PoisFFT,"P | P | P | P",128,50,       0.141768
2,double,uniform,PoisFFT,"P | P | P | P",128,51,       0.136479
2,double,uniform,PoisFFT,"P | P | P | P",128,52,       0.136488
2,double,uniform,PoisFFT,"P | P | P | P",128,53,       0.137149
2,double,uniform,PoisFFT,"P | P | P | P",128,54,       0.138709
2,double,uniform,PoisFFT,"P | P | P | P",128,55,       0.136338
2,double,uniform,PoisFFT,"P | P | P | P",128,56,       0.138528
2,double,uniform,PoisFFT,"P | P | P | P",128,57,       0.136719
2,double,uniform,PoisFFT,"P | P | P | P",128,58,       0.136649
2,double,uniform,PoisFFT,"P | P | P | P",128,59,       0.137008
2,double,uniform,PoisFFT,"P | P | P | P",128,60,       0.136379
2,double,uniform,PoisFFT,"P | P | P | P",128,61,       0.136898
2,double,uniform,PoisFFT,"P | P | P | P",128,62,       0.136209
2,double,uniform,PoisFFT,"P | P | P | P",128,63,       0.141958
2,double,uniform,PoisFFT,"P | P | P | P",128,64,       0.136508
2,double,uniform,PoisFFT,"P | P | P | P",128,65,       0.136889
2,double,uniform,PoisFFT,"P | P | P | P",128,66,       0.141518
2,double,uniform,PoisFFT,"P | P | P | P",128,67,       0.135689
2,double,uniform,PoisFFT,"P | P | P | P",128,68,       0.136149
2,double,uniform,PoisFFT,"P | P | P | P",128,69,       0.137788
2,double,uniform,PoisFFT,"P | P | P | P",128,70,       0.136469
2,double,uniform,PoisFFT,"P | P | P | P",128,71,       0.136369
2,double,uniform,PoisFFT,"P | P | P | P",128,72,       0.136258
2,double,uniform,PoisFFT,"P | P | P | P",128,73,       0.136149
2,double,uniform,PoisFFT,"P | P | P | P",128,74,       0.136328
2,double,uniform,PoisFFT,"P | P | P | P",192,0,       0.349696
2,double,uniform,PoisFFT,"P | P | P | P",192,1,       0.337047
2,double,uniform,PoisFFT,"P | P | P | P",192,2,       0.342506
2,double,uniform,PoisFFT,"P | P | P | P",192,3,       0.335247
2,double,uniform,PoisFFT,"P | P | P | P",192,4,       0.334807
2,double,uniform,PoisFFT,"P | P | P | P",192,5,       0.341616
2,double,uniform,PoisFFT,"P | P | P | P",192,6,       0.340186
2,double,uniform,PoisFFT,"P | P | P | P",192,7,       0.337836
2,double,uniform,PoisFFT,"P | P | P | P",192,8,       0.333486
2,double,uniform,PoisFFT,"P | P | P | P",192,9,       0.339786
2,double,uniform,PoisFFT,"P | P | P | P",192,10,       0.337406
2,double,uniform,PoisFFT,"P | P | P | P",192,11,       0.336126
2,double,uniform,PoisFFT,"P | P | P | P",192,12,       0.335486
2,double,uniform,PoisFFT,"P | P | P | P",192,13,       0.340146
2,double,uniform,PoisFFT,"P | P | P | P",192,14,       0.336917
2,double,uniform,PoisFFT,"P | P | P | P",192,15,       0.335527
2,double,uniform,PoisFFT,"P | P | P | P",192,16,       0.341107
2,double,uniform,PoisFFT,"P | P | P | P",192,17,       0.342587
2,double,uniform,PoisFFT,"P | P | P | P",192,18,       0.333727
2,double,uniform,PoisFFT,"P | P | P | P",192,19,       0.334826
2,double,uniform,PoisFFT,"P | P | P | P",192,20,       0.339816
2,double,uniform,PoisFFT,"P | P | P | P",192,21,       0.335146
2,double,uniform,PoisFFT,"P | P | P | P",192,22,       0.335096
2,double,uniform,PoisFFT,"P | P | P | P",192,23,       0.336086
2,double,uniform,PoisFFT,"P | P | P | P",192,24,       0.339466
2,double,uniform,PoisFFT,"P | P | P | P",192,25,       0.335786
2,double,uniform,PoisFFT,"P | P | P | P",192,26,       0.334866
2,double,uniform,PoisFFT,"P | P | P | P",192,27,       0.339436
2,double,uniform,PoisFFT,"P | P | P | P",192,28,       0.340097
2,double,uniform,PoisFFT,"P | P | P | P",192,29,       0.336757
2,double,uniform,PoisFFT,"P | P | P | P",192,30,       0.334186
2,double,uniform,PoisFFT,"P | P | P | P",192,31,       0.341066
2,double,uniform,PoisFFT,"P | P | P | P",192,32,       0.335066
2,double,uniform,PoisFFT,"P | P | P | P",192,33,       0.335036
2,double,uniform,PoisFFT,"P | P | P | P",192,34,       0.335096
2,double,uniform,PoisFFT,"P | P | P | P",192,35,       0.339836
2,double,uniform,PoisFFT,"P | P | P | P",192,36,       0.335106
2,double,uniform,PoisFFT,"P | P | P | P",192,37,       0.333326
2,double,uniform,PoisFFT,"P | P | P | P",192,38,       0.340446
2,double,uniform,PoisFFT,"P | P | P | P",192,39,       0.341316
2,double,uniform,PoisFFT,"P | P | P | P",192,40,       0.334027
2,double,uniform,PoisFFT,"P | P | P | P",192,41,       0.339377
2,double,uniform,PoisFFT,"P | P | P | P",192,42,       0.339746
2,double,uniform,PoisFFT,"P | P | P | P",192,43,       0.336126
2,double,uniform,PoisFFT,"P | P | P | P",192,44,       0.336816
2,double,uniform,PoisFFT,"P | P | P | P",192,45,       0.335916
2,double,uniform,PoisFFT,"P | P | P | P",192,46,       0.340626
2,double,uniform,PoisFFT,"P | P | P | P",192,47,       0.332277
2,double,uniform,PoisFFT,"P | P | P | P",192,48,       0.335626
2,double,uniform,PoisFFT,"P | P | P | P",192,49,       0.333726
2,double,uniform,PoisFFT,"P | P | P | P",192,50,       0.339227
2,double,uniform,PoisFFT,"P | P | P | P",192,51,       0.336956
2,double,uniform,PoisFFT,"P | P | P | P",192,52,       0.335407
2,double,uniform,PoisFFT,"P | P | P | P",192,53,       0.339477
2,double,uniform,PoisFFT,"P | P | P | P",192,54,       0.340027
2,double,uniform,PoisFFT,"P | P | P | P",192,55,       0.335317
2,double,uniform,PoisFFT,"P | P | P | P",192,56,       0.336406
2,double,uniform,PoisFFT,"P | P | P | P",192,57,       0.339606
2,double,uniform,PoisFFT,"P | P | P | P",192,58,       0.334526
2,double,uniform,PoisFFT,"P | P | P | P",192,59,       0.333286
2,double,uniform,PoisFFT,"P | P | P | P",192,60,       0.335106
2,double,uniform,PoisFFT,"P | P | P | P",192,61,       0.339346
2,double,uniform,PoisFFT,"P | P | P | P",192,62,       0.335466
2,double,uniform,PoisFFT,"P | P | P | P",192,63,       0.334567
2,double,uniform,PoisFFT,"P | P | P | P",192,64,       0.341487
2,double,uniform,PoisFFT,"P | P | P | P",192,65,       0.338906
2,double,uniform,PoisFFT,"P | P | P | P",192,66,       0.335327
2,double,uniform,PoisFFT,"P | P | P | P",192,67,       0.332817
2,double,uniform,PoisFFT,"P | P | P | P",192,68,       0.339187
2,double,uniform,PoisFFT,"P | P | P | P",192,69,       0.334746
2,double,uniform,PoisFFT,"P | P | P | P",192,70,       0.336066
2,double,uniform,PoisFFT,"P | P | P | P",192,71,       0.334616
2,double,uniform,PoisFFT,"P | P | P | P",192,72,       0.340506
2,double,uniform,PoisFFT,"P | P | P | P",192,73,       0.334936
2,double,uniform,PoisFFT,"P | P | P | P",192,74,       0.335366
2,double,uniform,PoisFFT,"P | P | P | P",256,0,       0.703642
2,double,uniform,PoisFFT,"P | P | P | P",256,1,       0.667362
2,double,uniform,PoisFFT,"P | P | P | P",256,2,       0.666423
2,double,uniform,PoisFFT,"P | P | P | P",256,3,       0.656523
2,double,uniform,PoisFFT,"P | P | P | P",256,4,       0.665483
2,double,uniform,PoisFFT,"P | P | P | P",256,5,       0.671543
2,double,uniform,PoisFFT,"P | P | P | P",256,6,       0.655733
2,double,uniform,PoisFFT,"P | P | P | P",256,7,       0.662292
2,double,uniform,PoisFFT,"P | P | P | P",256,8,       0.659933
2,double,uniform,PoisFFT,"P | P | P | P",256,9,       0.664263
2,double,uniform,PoisFFT,"P | P | P | P",256,10,       0.660723
2,double,uniform,PoisFFT,"P | P | P | P",256,11,       0.671053
2,double,uniform,PoisFFT,"P | P | P | P",256,12,       0.660423
2,double,uniform,PoisFFT,"P | P | P | P",256,13,       0.663223
2,double,uniform,PoisFFT,"P | P | P | P",256,14,       0.658923
2,double,uniform,PoisFFT,"P | P | P | P",256,15,       0.652393
2,double,uniform,PoisFFT,"P | P | P | P",256,16,       0.659163
2,double,uniform,PoisFFT,"P | P | P | P",256,17,       0.671673
2,double,uniform,PoisFFT,"P | P | P | P",256,18,       0.664543
2,double,uniform,PoisFFT,"P | P | P | P",256,19,       0.666122
2,double,uniform,PoisFFT,"P | P | P | P",256,20,       0.652383
2,double,uniform,PoisFFT,"P | P | P | P",256,21,       0.659752
2,double,uniform,PoisFFT,"P | P | P | P",256,22,       0.673113
