dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,55,       4.615241
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,56,       4.722910
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,57,       4.741029
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,58,       4.827577
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,59,       4.514211
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,60,       4.640160
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,61,       4.753889
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,62,       4.759469
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,63,       4.734819
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,64,       4.705529
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,65,       4.833348
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,66,       4.800098
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,67,       4.654200
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,68,       4.697169
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,69,       4.810549
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,70,       4.856288
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,71,       4.846457
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,72,       4.617250
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,73,       4.641500
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",128,74,       4.894648
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,0,      15.710541
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,1,      14.260196
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,2,      15.338225
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,3,      16.051047
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,4,      14.772831
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,5,      14.095519
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,6,      15.293436
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,7,      15.425404
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,8,      15.258056
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,9,      14.819861
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,10,      15.844149
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,11,      14.799031
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,12,      15.075258
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,13,      15.374064
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,14,      15.159567
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,15,      14.859970
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,16,      15.146847
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,17,      15.114497
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,18,      14.287866
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,19,      15.454194
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,20,      15.750441
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,21,      15.039899
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,22,      13.415496
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,23,      14.929769
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,24,      14.916800
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,25,      13.331156
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,26,      13.830842
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,27,      14.704692
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,28,      14.911689
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,29,      14.450875
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,30,      14.656132
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,31,      13.744542
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,32,      12.691353
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,33,      14.404415
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,34,      15.879069
